name,type,base_target,light,dark
system/color/roles/primary,COLOR,base/color/light/mint-500,#00CBD5,#01D5DF
system/color/status/active-primary,COLOR,base/color/light/mint-500,#00CBD5,#01D5DF
system/color/status/hover-primary,COLOR,base/color/light/mint-600,#00B8C1,#37DEE5
system/color/status/inactive-primary,COLOR,base/color/light/mint-200,#77E8EE,#008A91
system/color/status/active-blue,COLOR,base/color/light/blue-500,#5989FE,#5989FE
system/color/status/hover-blue,COLOR,base/color/light/blue-700,#4873E5,#95B3FE
system/color/status/inactive-blue,COLOR,base/color/light/blue-200,#C0D7FF,#37549D
system/color/status/active-gray-900,COLOR,base/color/light/coolgray-900,#0F1117,#F4F4F4
system/color/status/focus-gray-400,COLOR,base/color/light/coolgray-400,#AEB1B8,#555555
system/color/status/active-gray-75,COLOR,base/color/light/coolgray-75,#F2F3F7,#1F1F1F
system/color/status/inactive-gray,COLOR,base/color/light/coolgray-200,#DCDEE4,#3E3E3E
system/color/status/danger-red,COLOR,base/color/light/red-500,#FE5B58,#FE5B58
system/color/status/background-disabled,COLOR,base/color/light/coolgray-75,#F2F3F7,#1F1F1F
system/color/status/background-default,COLOR,base/color/light/white,#FFFFFF,#000000
system/color/surface/default-reverse,COLOR,base/color/light/black,#000000,#FFFFFF
system/color/surface/default,COLOR,base/color/light/white,#FFFFFF,#000000
system/color/surface/default-2,COLOR,base/color/light/white,#FFFFFF,#161616
system/color/surface/default-3,COLOR,base/color/light/white,#FFFFFF,#1F1F1F
system/color/surface/default-4,COLOR,base/color/light/white,#FFFFFF,#282828
system/color/surface/default-gray-50,COLOR,base/color/light/coolgray-50,#F7F8FA,#161616
system/color/surface/default-gray-50-2,COLOR,base/color/light/coolgray-50,#F7F8FA,#282828
system/color/surface/default-gray-50-same,COLOR,base/color/light/coolgray-50,#F7F8FA,#F7F8FA
system/color/surface/gray-75,COLOR,base/color/light/coolgray-75,#F2F3F7,#1F1F1F
system/color/surface/gray-75-2,COLOR,base/color/light/coolgray-75,#F2F3F7,#333333
system/color/surface/gray-100,COLOR,base/color/light/coolgray-100,#EBEDF2,#282828
system/color/surface/gray-100-2,COLOR,base/color/light/coolgray-100,#EBEDF2,#333333
system/color/surface/gray-200,COLOR,base/color/light/coolgray-200,#DCDEE4,#333333
system/color/surface/gray-300,COLOR,base/color/light/coolgray-300,#C8CAD1,#3E3E3E
system/color/surface/gray-900,COLOR,base/color/light/gray-900,#111111,#F4F4F4
system/color/surface/default-reverse-0a,COLOR,base/color/light/black-0a,#00000000,#FFFFFF00
system/color/surface/default-reverse-50a,COLOR,base/color/light/black-50a,#0000000A,#FFFFFF0D
system/color/surface/default-reverse-50a-2,COLOR,base/color/light/black-50a,#0000000A,#FFFFFF1A
system/color/surface/default-reverse-100a,COLOR,base/color/light/black-100a,#0000001A,#FFFFFF1A
system/color/surface/default-reverse-200a,COLOR,base/color/light/black-200a,#00000033,#FFFFFF33
system/color/surface/default-reverse-300a,COLOR,base/color/light/black-300a,#0000004D,#FFFFFF4D
system/color/surface/default-reverse-600a-unequal,COLOR,base/color/light/black-600a,#000000CC,#333333
system/color/surface/black-same,COLOR,base/color/light/black,#000000,#000000
system/color/surface/black-200a-same,COLOR,base/color/light/black-200a,#00000033,#00000033
system/color/surface/black-400a-same,COLOR,base/color/light/black-400a,#00000080,#00000080
system/color/surface/black-600a-same,COLOR,base/color/light/black-600a,#000000CC,#000000CC
system/color/surface/default-0a,COLOR,base/color/light/white-0a,#FFFFFF00,#00000000
system/color/surface/default-50a,COLOR,base/color/light/white-50a,#FFFFFF0D,#0000000A
system/color/surface/default-100a,COLOR,base/color/light/white-100a,#FFFFFF1A,#0000001A
system/color/surface/default-150a,COLOR,base/color/light/white-150a,#FFFFFF26,#00000026
system/color/surface/default-200a,COLOR,base/color/light/white-200a,#FFFFFF33,#00000033
system/color/surface/default-250a,COLOR,base/color/light/white-250a,#FFFFFF40,#00000040
