rank,aggregate_type,aggregate_key,component_key,component_name,component_set_key,component_set_name,total_detachments,total_insertions,detach_rate,unique_detach_weeks,variant_count,start_date,end_date,library_file_key,raw_weekly_rows
1,component_set,0befc61ab89f810594677109814548f8cde49928,,icon_area,0befc61ab89f810594677109814548f8cde49928,icon_area,139,323111,0.000430,24,9,2025-12-01,2026-05-31,DWEduE6GfxYMlyxKPNJ8jA,13180
2,component_set,6f1fa3aadc347f4c8c2f26405695b2415dbdcb95,,💠 [V2] Chips,6f1fa3aadc347f4c8c2f26405695b2415dbdcb95,💠 [V2] Chips,128,4768,0.026846,9,15,2025-12-01,2026-05-31,DWEduE6GfxYMlyxKPNJ8jA,13180
3,component_set,d0a05143f1a3867b7d8d30eacf939b885d41e0eb,,💠 [V2] Thumbnail,d0a05143f1a3867b7d8d30eacf939b885d41e0eb,💠 [V2] Thumbnail,100,4781,0.020916,9,3,2025-12-01,2026-05-31,DWEduE6GfxYMlyxKPNJ8jA,13180
4,component_set,bc850a83d50e399bb879539cdd32c3e8ed1363e2,,Chip,bc850a83d50e399bb879539cdd32c3e8ed1363e2,Chip,85,3463,0.024545,13,12,2025-12-01,2026-05-31,DWEduE6GfxYMlyxKPNJ8jA,13180
5,component_set,70d2a20bcdfe3ac7a3c3190410d9a255d8783e1d,,💠 Text Button,70d2a20bcdfe3ac7a3c3190410d9a255d8783e1d,💠 Text Button,82,13017,0.006299,19,36,2025-12-01,2026-05-31,DWEduE6GfxYMlyxKPNJ8jA,13180
6,component_set,e120970b1638c0fa7a5b7638923eb91479384ebe,,💠 [V2] List_Item_Native,e120970b1638c0fa7a5b7638923eb91479384ebe,💠 [V2] List_Item_Native,69,14804,0.004661,21,3,2025-12-01,2026-05-31,DWEduE6GfxYMlyxKPNJ8jA,13180
7,component_set,33261ba4635ef136dd94de771e9ded865a98c6d4,,Title Header,33261ba4635ef136dd94de771e9ded865a98c6d4,Title Header,55,45331,0.001213,12,2,2025-12-01,2026-05-31,DWEduE6GfxYMlyxKPNJ8jA,13180
8,component_set,33d955018e09fb10ab89cefc8f00f2662a2b0e39,,💠 [V2] Avatar,33d955018e09fb10ab89cefc8f00f2662a2b0e39,💠 [V2] Avatar,55,5389,0.010206,15,19,2025-12-01,2026-05-31,DWEduE6GfxYMlyxKPNJ8jA,13180
9,component_set,12eee519d7ee66e179cb03c579962a37beba7e7f,,💠 [V2] Tabs,12eee519d7ee66e179cb03c579962a37beba7e7f,💠 [V2] Tabs,43,10447,0.004116,11,7,2025-12-01,2026-05-31,DWEduE6GfxYMlyxKPNJ8jA,13180
10,component_set,b60ecb5e664ce4e19bd9b11dd521d9b710d711df,,💠 Icon Button,b60ecb5e664ce4e19bd9b11dd521d9b710d711df,💠 Icon Button,37,94,0.393617,4,5,2025-12-01,2026-05-31,DWEduE6GfxYMlyxKPNJ8jA,13180
